Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
2014,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,0.0,0,0,262.0,"1,453",1,0.0,0,0,0.0,0,0,262.0,"1,453",1
2014,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,0.0,0,0,315.0,"2,709",1,0.0,0,0,0.0,0,0,315.0,"2,709",1
2014,59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,CA,CISO,0.0,0,0,76.0,770,1,0.0,0,0,0.0,0,0,76.0,770,1
2014,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,0.0,0,0,0.0,0,0,"3,937.0","128,146",3,0.0,0,0,"3,937.0","128,146",3
2014,10168,Cardinal Cogen,3030,Cardinal Cogen Inc,CA,CISO,0.0,0,0,"20,182.0","263,762",1,0.0,0,0,0.0,0,0,"20,182.0","263,762",1
2014,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0.0,0,0,"1,374.0","15,786",20,405.0,"4,558",18,0.0,0,0,"1,779.0","20,344",38
2014,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,0.0,0,0,0.0,0,0,"13,582.0","124,630",1,0.0,0,0,"13,582.0","124,630",1
2014,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,0.0,0,0,0.0,0,0,"98,193.0","2,566,680",1,0.0,0,0,"98,193.0","2,566,680",1
2014,59755,Chester Power Partners,59522,Chester Power Partners LLC,VT,ISNE,0.0,0,0,14.0,59,1,0.0,0,0,0.0,0,0,14.0,59,1
2014,57011,Chuckawalla Valley State Prison,56302,SunE CPA CDC1 LLC,CA,CISO,0.0,0,0,220.0,"2,005",1,0.0,0,0,0.0,0,0,220.0,"2,005",1
2014,57645,City & County of Denver at Denver Int'l,56974,"Denver Airport Solar, LLC",CO,PSCO,0.0,0,0,0.0,0,0,246.0,"6,732",1,0.0,0,0,246.0,"6,732",1
2014,57681,City of Boulder WWTP,57005,"SunE NLB-2, LLC",CO,PSCO,0.0,0,0,0.0,0,0,50.0,"1,422",1,0.0,0,0,50.0,"1,422",1
2014,57682,City of Madera WWTP,57006,"SunE GIL1, LLC",CA,CISO,0.0,0,0,0.0,0,0,288.0,"2,275",1,0.0,0,0,288.0,"2,275",1
2014,59329,City of Soledad Water Reclamation,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,25.0,340,1,0.0,0,0,25.0,340,1
2014,10741,Clear Lake Cogeneration Ltd,3775,Clear Lake Cogeneration LP,TX,ERCO,0.0,0,0,0.0,0,0,"4,683.0","135,331",1,0.0,0,0,"4,683.0","135,331",1
2014,10635,Corona Cogen,56466,Juniper Generation  LLC,CA,CISO,0.0,0,0,0.0,0,0,400.0,"1,311",1,0.0,0,0,400.0,"1,311",1
2014,55206,Corpus Christi Energy Center,4383,Corpus Christi Cogeneration LLC,TX,ERCO,0.0,0,0,0.0,0,0,"20,608.0","503,660",1,0.0,0,0,"20,608.0","503,660",1
2014,59746,DSH (CA) - Coalinga State Hospital,59512,"Team-Solar, Inc.",CA,CISO,0.0,0,0,237.0,"1,801",1,0.0,0,0,0.0,0,0,237.0,"1,801",1
2014,59779,Davis Monthan AFB (AZ) West Airfield,59544,"SunE DM, LLC",AZ,TEPC,0.0,0,0,"1,573.0","32,978",1,0.0,0,0,0.0,0,0,"1,573.0","32,978",1
2014,57827,Dinuba Wastewater Treatment Plant,58661,"Sustainable Power Group, LLC",CA,CISO,.,.,.,305.0,"1,934",1,.,.,.,.,.,.,305.0,"1,934",1
2014,10613,Domtar - Woodland Mill,5232,Woodland Pulp LLC,ME,NBSO,0.0,0,0,134.0,"1,483",1,0.0,0,0,0.0,0,0,134.0,"1,483",1
2014,4146,E J Stoneman Station,56293,DTE Stoneman LLC,WI,MISO,0.0,0,0,"22,542.0","265,203",1,0.0,0,0,0.0,0,0,"22,542.0","265,203",1
2014,56814,ELACC Photovoltaic Power Facility,56027,MMA LA Power LP,CA,CISO,0.0,0,0,245.0,"1,432",1,0.0,0,0,0.0,0,0,245.0,"1,432",1
2014,57574,ETS Ewing Solar Facility,56915,"Solar Star New Jersey IV, LLC",NJ,PJM,0.0,0,0,196.0,"2,052",2,0.0,0,0,0.0,0,0,196.0,"2,052",2
2014,10634,Elmore Company,49899,CalEnergy Operating Corporation,CA,IID,0.0,0,0,"22,551.0","330,787",1,0.0,0,0,0.0,0,0,"22,551.0","330,787",1
2014,59367,Engelhard Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,90.0,796,1,0.0,0,0,0.0,0,0,90.0,796,1
2014,59393,Eubank Landfill Solar Array,59171,"Suncore Photovoltaics, Inc",NM,PNM,0.0,0,0,0.0,0,0,578.0,"3,853",1,0.0,0,0,578.0,"3,853",1
2014,58261,FAA NorCal TRACON,58238,Enfinity NorCal 1 FAA LLC,CA,BANC,0.0,0,0,0.0,0,0,226.0,"1,845",1,0.0,0,0,226.0,"1,845",1
2014,57506,FRV SI Transport Solar LP,56827,FRV SI Transport Solar LP,CA,CISO,0.0,0,0,260.0,"1,761",1,0.0,0,0,0.0,0,0,260.0,"1,761",1
2014,58974,Fairview Farms Solar,58837,Fairview Farms Solar LLC,MA,ISNE,0.0,0,0,114.0,"1,117",1,0.0,0,0,0.0,0,0,114.0,"1,117",1
2014,57747,FedEx Field Solar Facility,57052,NRG Solar Arrowhead LLC,MD,PJM,0.0,0,0,262.0,"2,185",1,0.0,0,0,0.0,0,0,262.0,"2,185",1
2014,57791,Foundation AB,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,169.0,"2,620",1,0.0,0,0,169.0,"2,620",1
2014,58102,Foundation Cemex BMQ,57476,Foundation CA Fund VI Manager LLC,CA,CISO,0.0,0,0,0.0,0,0,264.0,"3,504",1,0.0,0,0,264.0,"3,504",1
2014,58112,Foundation Cemex Madison,57484,"Foundation CA Fund V Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,107.0,"1,538",1,0.0,0,0,107.0,"1,538",1
2014,58101,Foundation Cemex River Plant,57476,Foundation CA Fund VI Manager LLC,CA,CISO,0.0,0,0,0.0,0,0,204.0,"2,682",1,0.0,0,0,204.0,"2,682",1
2014,57792,Foundation IE,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,34.0,387,1,0.0,0,0,34.0,387,1
2014,58114,Foundation NWNA,57484,"Foundation CA Fund V Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,694.0,"14,021",1,0.0,0,0,694.0,"14,021",1
2014,58113,Foundation RRM,57484,"Foundation CA Fund V Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,440.0,"8,856",1,0.0,0,0,440.0,"8,856",1
2014,57626,Foundation ST,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,168.0,"2,235",1,0.0,0,0,168.0,"2,235",1
2014,58104,Foundation Superior Farms,57476,Foundation CA Fund VI Manager LLC,CA,CISO,0.0,0,0,0.0,0,0,112.0,"1,602",1,0.0,0,0,112.0,"1,602",1
2014,58105,Foundation Wal-Mart Red Bluff,57476,Foundation CA Fund VI Manager LLC,CA,CISO,0.0,0,0,0.0,0,0,140.0,"1,760",1,0.0,0,0,140.0,"1,760",1
2014,54224,Franklin Heating Station,6738,Franklin Heating Station,MN,MISO,0.0,0,0,"13,215.0","153,330",2,0.0,0,0,0.0,0,0,"13,215.0","153,330",2
2014,58576,GSE NM1,58465,"Green States Energy, Inc.",NM,SWPP,0.0,0,0,248.0,"5,262",3,0.0,0,0,0.0,0,0,248.0,"5,262",3
2014,56909,Gap Pacific Distribution Center,56113,MMA GDC Power LP,CA,CISO,0.0,0,0,277.0,"1,925",1,0.0,0,0,0.0,0,0,277.0,"1,925",1
2014,50333,Gay Robinson,7019,Gay & Robinson Inc,HI,NA,7.0,57,8,76.0,212,7,0.0,0,0,0.0,0,0,83.0,269,15
2014,58359,Gerresheimer Glass Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0.0,0,0,246.0,"3,584",1,0.0,0,0,0.0,0,0,246.0,"3,584",1
2014,59328,Golden Acorn Casino,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0.0,0,0,75.0,"1,509",1,0.0,0,0,0.0,0,0,75.0,"1,509",1
2014,55086,Gregory Power Facility,7667,Gregory Power Partners LP,TX,ERCO,0.0,0,0,0.0,0,0,"7,945.0","214,703",1,0.0,0,0,"7,945.0","214,703",1
2014,59484,"Hadley Solar, LLC",59254,NuGen Capital Management,MA,ISNE,0.0,0,0,129.0,"1,582",3,0.0,0,0,0.0,0,0,129.0,"1,582",3
2014,52061,Hartford Hospital Cogeneration,8153,Hartford Steam Co,CT,ISNE,0.0,0,0,0.0,0,0,"4,658.0","41,129",1,0.0,0,0,"4,658.0","41,129",1
2014,58815,Hilton NY Co Gen Plant,58697,UTS Project Company HNY-1 LLC,NY,NYIS,0.0,0,0,"1,197.0","11,652",1,0.0,0,0,0.0,0,0,"1,197.0","11,652",1
2014,54707,Hunterdon Cogen Facility,8927,Hunterdon Cogeneration LP,NJ,PJM,0.0,0,0,15.0,156,1,0.0,0,0,0.0,0,0,15.0,156,1
2014,59362,Indian Hill Solar LLC,58258,SunRay Power LLC,MA,ISNE,0.0,0,0,159.0,969,1,0.0,0,0,0.0,0,0,159.0,969,1
2014,58793,JMB Mcguire-Dix-Lakehurst Solar Project,58682,WR-TGC Solar Generation IV LLC,NJ,PJM,0.0,0,0,926.0,"14,225",1,0.0,0,0,0.0,0,0,926.0,"14,225",1
2014,58653,Jersey Gardens Phase 1,58590,SEDC Jersey Gardens Owner LLC,NJ,PJM,0.0,0,0,348.0,"2,260",1,0.0,0,0,0.0,0,0,348.0,"2,260",1
2014,58654,Jersey Gardens Phase 2,58591,CF Jersey Gardens Owner Two LLC,NJ,PJM,0.0,0,0,481.0,"3,077",1,0.0,0,0,0.0,0,0,481.0,"3,077",1
2014,58292,Jewish Community Center PV,58863,Main Street Power,AZ,AZPS,0.0,0,0,165.0,"2,195",1,0.0,0,0,0.0,0,0,165.0,"2,195",1
2014,57723,"Johnson Matthey, Inc. Solar",56976,"Constellation Solar New Jersey II, LLC",NJ,PJM,0.0,0,0,0.0,0,0,463.0,"6,794",1,0.0,0,0,463.0,"6,794",1
2014,887,Joppa Steam,5748,Electric Energy Inc,KY,EEI,0.0,0,0,"2,137.0","46,462",1,0.0,0,0,0.0,0,0,"2,137.0","46,462",1
2014,59468,KS Solar Six LLC,59232,Kearsarge Solar LLC,MA,ISNE,0.0,0,0,312.0,"2,924",1,0.0,0,0,0.0,0,0,312.0,"2,924",1
2014,58243,Kent County - Worton Complex,57081,"Washington Gas Energy Systems, Inc.",MD,PJM,0.0,0,0,143.0,"1,747",1,0.0,0,0,0.0,0,0,143.0,"1,747",1
2014,58239,Kent County-Kennedyville,57081,"Washington Gas Energy Systems, Inc.",MD,PJM,0.0,0,0,149.0,"1,733",1,0.0,0,0,0.0,0,0,149.0,"1,733",1
2014,58240,Kit Carson,57081,"Washington Gas Energy Systems, Inc.",NM,PNM,0.0,0,0,472.0,"3,000",1,0.0,0,0,0.0,0,0,472.0,"3,000",1
2014,57119,Koda Biomass Plant,56413,Koda Energy LLC,MN,MISO,0.0,0,0,"2,343.0","32,900",1,0.0,0,0,0.0,0,0,"2,343.0","32,900",1
2014,57009,Kohls San Bernardino Solar Facility,56300,SunE KHL55 San Bernardino LLC,CA,CISO,0.0,0,0,202.0,"1,610",1,0.0,0,0,0.0,0,0,202.0,"1,610",1
2014,58539,Lake Pleasant WTP,58507,Solar Star Arizona III LLC,AZ,AZPS,0.0,0,0,"1,270.0","14,970",2,0.0,0,0,0.0,0,0,"1,270.0","14,970",2
2014,59369,Lakewood Seven Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,60.0,604,1,0.0,0,0,0.0,0,0,60.0,604,1
2014,57153,Langford Wind Power,56506,Langford Wind Power LLC,TX,ERCO,0.0,0,0,0.0,0,0,"14,938.0","576,387",1,0.0,0,0,"14,938.0","576,387",1
2014,58231,Lincoln Financial Field,58203,NRG Energy Center Eagles LLC,PA,PJM,0.0,0,0,519.0,"3,358",1,0.0,0,0,0.0,0,0,519.0,"3,358",1
2014,57768,Longwood Gardens,57078,Ecogy Pennsylvania Systems LLC,PA,PJM,0.0,0,0,151.0,"2,050",1,0.0,0,0,0.0,0,0,151.0,"2,050",1
2014,55217,Los Medanos Energy Center,2843,Los Medanos Energy Center LLC,CA,CISO,0.0,0,0,0.0,0,0,"20,052.0","441,387",2,0.0,0,0,"20,052.0","441,387",2
2014,59873,Lowell Solar Landfill,59654,Lowell Solar Landfill LLC,MA,ISNE,0.0,0,0,175.0,"1,853",1,0.0,0,0,0.0,0,0,175.0,"1,853",1
2014,59324,MCCo Solar Generating Facility,59122,The Medical Center Company,OH,PJM,0.0,0,0,0.0,5,7,0.0,0,0,0.0,0,0,0.0,5,7
2014,57005,Mariani Packing Vacaville Solar,56431,SunE U6 Holdings LLC,CA,CISO,0.0,0,0,289.0,"1,991",1,0.0,0,0,0.0,0,0,289.0,"1,991",1
2014,58410,Marshfield PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,0.0,0,0,495.0,"4,950",1,0.0,0,0,0.0,0,0,495.0,"4,950",1
2014,58443,Martin Limestone Solar Array,58438,Sunstream Energy LLC,PA,PJM,0.0,0,0,0.0,0,0,122.0,"1,533",1,0.0,0,0,122.0,"1,533",1
2014,58412,Maynard PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,0.0,0,0,104.0,"1,485",1,0.0,0,0,0.0,0,0,104.0,"1,485",1
2014,57646,McCormick & Co. Inc. at Belcamp,56975,"Constellation Solar Maryland, LLC",MD,PJM,0.0,0,0,0.0,0,0,226.0,"2,332",1,0.0,0,0,226.0,"2,332",1
2014,57662,McGraw Hill Solar,56990,NJR Clean Energy Ventures Corporation,NJ,PJM,0.0,0,0,1.0,"17,694",1,0.0,0,0,0.0,0,0,1.0,"17,694",1
2014,59277,Medford WWTP,56990,NJR Clean Energy Ventures Corporation,NJ,PJM,0.0,0,0,170.0,"1,966",1,0.0,0,0,0.0,0,0,170.0,"1,966",1
2014,10883,Medical Area Total Energy Plant,12258,Medical Area Total Egy Plt Inc,MA,ISNE,0.0,0,0,"35,370.0","302,121",6,0.0,0,0,0.0,0,0,"35,370.0","302,121",6
2014,10180,Metro Wastewater Reclamation District,19068,Colorado Golden Energy Corp.,CO,PSCO,0.0,0,0,0.0,0,0,"1,307.0","30,870",1,0.0,0,0,"1,307.0","30,870",1
2014,58090,Middlesex Apple Orchard Solar,57411,KDC Solar O&M LLC,NJ,PJM,0.0,0,0,222.0,"4,950",1,0.0,0,0,0.0,0,0,222.0,"4,950",1
2014,10745,Midland Cogeneration Venture,12492,Midland Cogeneration Venture,MI,MISO,0.0,0,0,0.0,0,0,"27,517.0","415,665",1,0.0,0,0,"27,517.0","415,665",1
2014,52169,Midway Sunset Cogen,12687,Midway-Sunset Cogeneration Co,CA,CISO,0.0,0,0,0.0,0,0,"7,605.0","118,297",1,0.0,0,0,"7,605.0","118,297",1
2014,57362,Morgantown Solar Park,56701,The Hankin Group,PA,PJM,0.0,0,0,0.0,0,0,152.0,"2,389",1,0.0,0,0,152.0,"2,389",1
2014,55216,Morris Cogeneration LLC,54755,Morris Cogeneration LLC,IL,PJM,0.0,0,0,0.0,0,0,"13,743.0","429,926",1,0.0,0,0,"13,743.0","429,926",1
2014,57758,Mount Saint Mary's,57065,Constellation Solar Horizons LLC,MD,PJM,0.0,0,0,189.0,"2,074",1,0.0,0,0,0.0,0,0,189.0,"2,074",1
2014,50352,Nacimiento Hydro Project,12850,Monterey Cnty Water Res Agency,CA,CISO,0.0,0,0,0.0,0,0,70.0,974,1,0.0,0,0,70.0,974,1
2014,57462,Napoleon Solar I,56780,Enfinity BNB Napoleon Solar LLC,OH,PJM,0.0,0,0,763.0,"14,283",1,0.0,0,0,0.0,0,0,763.0,"14,283",1
2014,57764,Naval Air Weapons Station China Lake,57073,"Solar Star California XV, LLC",CA,CISO,0.0,0,0,"3,519.0","29,091",1,0.0,0,0,0.0,0,0,"3,519.0","29,091",1
2014,56568,Nellis Air Force Base Solar Array,56203,Solar Star NAFB LLC,NV,NEVP,0.0,0,0,0.0,0,0,680.0,"31,202",1,0.0,0,0,680.0,"31,202",1
2014,58748,North Bay Solar 1,58661,"Sustainable Power Group, LLC",CA,CISO,.,.,.,274.0,"2,385",1,.,.,.,.,.,.,274.0,"2,385",1
2014,10812,North Island Energy Facility,745,Applied Energy Inc,CA,CISO,0.0,0,0,0.0,0,0,"1,351.0","20,193",1,0.0,0,0,"1,351.0","20,193",1
2014,58358,North Jersey Media Group Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0.0,0,0,358.0,"5,978",1,0.0,0,0,0.0,0,0,358.0,"5,978",1
2014,57798,OBP Cogen,57120,OBP Cogen LLC,NY,NYIS,0.0,0,0,"10,865.0","64,065",1,0.0,0,0,0.0,0,0,"10,865.0","64,065",1
2014,50851,OLS Energy Camarillo,56835,CSUCI Site Authority,CA,CISO,0.0,0,0,822.0,"6,618",1,0.0,0,0,0.0,0,0,822.0,"6,618",1
2014,50850,OLS Energy Chino,14265,OLS Energy-Chino,CA,CISO,0.0,0,0,0.0,0,0,"2,045.0","16,484",1,0.0,0,0,"2,045.0","16,484",1
2014,58134,Oberlin Spear Point Solar One,58084,"Oberlin Spear Point Solar One, LLC",OH,PJM,0.0,0,0,151.0,"3,038",1,0.0,0,0,0.0,0,0,151.0,"3,038",1
2014,50413,Olmsted Waste Energy,21995,Olmsted County Public Works,MN,MISO,0.0,0,0,623.0,"5,750",2,0.0,0,0,0.0,0,0,623.0,"5,750",2
2014,58411,Orange PV,57081,"Washington Gas Energy Systems, Inc.",MA,ISNE,0.0,0,0,236.0,"2,721",1,0.0,0,0,0.0,0,0,236.0,"2,721",1
2014,58550,Owens Corning at Bethlehem,58491,"Constellation NewEnergy, Inc",NY,NYIS,0.0,0,0,0.0,0,0,224.0,"3,306",1,0.0,0,0,224.0,"3,306",1
2014,54676,Oyster Creek Unit VIII,5374,Dow Chemical Company-Oyster Creek VIII,TX,ERCO,0.0,0,0,0.0,0,0,"143,793.0","1,725,453",1,0.0,0,0,"143,793.0","1,725,453",1
2014,59866,Palmer Solar LLC,59653,Palmer Solar LLC,MA,ISNE,0.0,0,0,307.0,"3,000",1,0.0,0,0,0.0,0,0,307.0,"3,000",1
2014,58293,Paradise Valley H.S. PV,58863,Main Street Power,AZ,AZPS,0.0,0,0,265.0,"2,654",1,0.0,0,0,0.0,0,0,265.0,"2,654",1
2014,58198,Parnassus Central Utility Plant,58171,University of California-San Francisco,CA,CISO,0.0,0,0,"8,491.0","76,570",4,0.0,0,0,0.0,0,0,"8,491.0","76,570",4
2014,55047,Pasadena Cogeneration,11059,Pasadena Cogeneration LP,TX,ERCO,0.0,0,0,0.0,0,0,"17,460.0","395,268",1,0.0,0,0,"17,460.0","395,268",1
2014,57772,Perdue Bridgeville Photovoltaic,57081,"Washington Gas Energy Systems, Inc.",DE,PJM,0.0,0,0,157.0,"2,029",1,0.0,0,0,0.0,0,0,157.0,"2,029",1
2014,57879,Perdue Salisbury Photovoltaic,57081,"Washington Gas Energy Systems, Inc.",MD,PJM,0.0,0,0,124.0,"1,606",1,0.0,0,0,0.0,0,0,124.0,"1,606",1
2014,58708,Phoenix Airport East Economy Lot,58649,Solar Star Arizona II LLC,AZ,AZPS,0.0,0,0,278.0,"2,043",1,0.0,0,0,0.0,0,0,278.0,"2,043",1
2014,58709,Phoenix Airport Rental Car Center,58649,Solar Star Arizona II LLC,AZ,AZPS,0.0,0,0,638.0,"6,571",1,0.0,0,0,0.0,0,0,638.0,"6,571",1
2014,59364,Plainfield One Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,153.0,"1,424",1,0.0,0,0,0.0,0,0,153.0,"1,424",1
2014,54103,Port Edwards Mill,5033,Domtar Industries Inc,WI,MISO,0.0,0,0,0.0,0,0,216.0,"5,816",1,0.0,0,0,216.0,"5,816",1
2014,10025,"RED-Rochester, LLC",5624,"RED-Rochester, LLC",NY,NYIS,0.0,0,0,0.0,0,0,"21,013.0","286,877",11,0.0,0,0,"21,013.0","286,877",11
2014,57419,RPI Fuel Cell LLC,56748,RP1 Fuel Cell LLC,CA,CISO,0.0,0,0,"1,613.0","12,463",1,0.0,0,0,0.0,0,0,"1,613.0","12,463",1
2014,57507,RV CSU Power II LLC,56828,RV CSU Power II LLC,CO,PSCO,0.0,0,0,0.0,0,0,321.0,"3,627",1,0.0,0,0,321.0,"3,627",1
2014,57141,RV CSU Power LLC,56493,RV CSU Power LLC,CO,PSCO,0.0,0,0,263.0,"2,930",1,0.0,0,0,0.0,0,0,263.0,"2,930",1
2014,58589,Rio Rancho High School,57081,"Washington Gas Energy Systems, Inc.",NM,PNM,0.0,0,0,154.0,"2,339",1,0.0,0,0,0.0,0,0,154.0,"2,339",1
