"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2010",,,,,,,
Date,NERC Region,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected 1,Restoration
7/6/2010,RFC ,3:47 a.m.,"Newark, DE",Transformer Outage,95,"18,400",4:37 a.m. July 06
7/7/2010,RFC ,4:13 p.m.,"York, South Central Pennsylvania",Loss of Transmission Equipment,N/A,"43,903",10:29 p.m. July 07
7/15/2010,RFC ,7:00 p.m.,Southeastern Michigan,Severe Weather,540,"127,534",11:30 p.m. July 19
7/17/2010,MRO ,8:30 p.m.,Minnesota,"Strong Winds, Tornadoes",N/A,"63,000",10:00 p.m. July 19
7/21/2010,NPCC ,6:44 p.m.,Connecticut,Thunderstorms,N/A,"50,100",8:00 p.m. July 21
7/23/2010,WECC ,10:00 a.m.,Northern Utah,Made Public Appeals,8-Jun,N/A,11:55 p.m. July 24
7/23/2010,RFC ,7:30 p.m.,Southeastern Michigan,Severe Weather,400,"82,000",6:30 p.m. July 26
"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2010",,,,,,,
Date,NERC Region ,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected 1,Restoration
7/25/2010,RFC ,3:10 p.m.,"Washington, DC Region",Severe Weather,N/A,"297,700",11:30 p.m. July 30
7/25/2010,RFC ,3:20 p.m.,Central Maryland,Severe Weather,480,"124,000",6:00 p.m. July 27
7/25/2010,SERC ,4:11 p.m.,Northern Virginia,Severe Weather,900-1000,"81,000",8:06 p.m. July 25
7/29/2010,SERC ,5:43 p.m.,Virginia,Thunderstorms,N/A,"55,000",8:07 p.m. July 29
7/29/2010,WECC ,6:39 p.m.,Southern California,"Shed Interruptible Load, Wildfire",522,N/A,7:26 p.m. July 29
7/29/2010,WECC ,6:39 p.m.,Southern California,"Shed Interruptible Load, Wildfire",522,N/A,7:26 p.m. July 29
August   ,,,,,,,
8/2/2010,WECC ,12:00 p.m.,Central California,Fuel Supply Deficiency (Hydro),N/A,N/A,11:00 p.m. August 02
8/2/2010,SERC ,12:45 p.m.,Southern Louisiana,Made Public Appeals,N/A,N/A,11:00 a.m. August 04
8/2/2010,SERC ,12:45 p.m.,Southern Louisiana,Made Public Appeals,N/A,N/A,11:00 a.m. August 04
8/2/2010,SERC ,12:45 p.m.,Southwestern Louisiana,Made Public Appeals,N/A,N/A,11:00 a.m. August 04
8/2/2010,SPP ,12:45 p.m.,Southern Louisiana,Made Public Appeals,N/A,N/A,11:00 a.m. August 04
8/4/2010,SPP ,12:00 p.m.,"Northern Texas, Eastern New Mexico",Made Public Appeals,N/A,N/A,10:00 p.m. August 04
8/4/2010,RFC ,4:45 p.m.,"Western Pennsylvania, Northwestern and Central West Virginia",Thunderstorms,60,"11,186",12:00 a.m. August 07
8/4/2010,RFC ,5:00 p.m.,"Ohio, West Virginia, Kentucky",Severe Weather,N/A,"37,000",4:00 a.m. August 06
8/5/2010,RFC ,3:30 p.m.,"District of Columbia, Maryland",Thunderstorms,N/A,"76,729",10:00 p.m. August 05
8/5/2010,RFC ,3:54 p.m.,Northern Virginia,Thunderstorms,N/A,"145,157",12:00 a.m. August 08
8/9/2010,RFC ,12:00 p.m.,Upstate New York,Fuel Supply Defiency,N/A,N/A,12:00 p.m. August 16
8/11/2010,RFC ,3:21 p.m.,Ohio,Severe Weather,N/A,"57,000",12:12 p.m. August 11
8/12/2010,RFC ,6:45 a.m.,"District of Columbia, Maryland",Severe Weather,N/A,"101,003",9:00 p.m. August 12
8/12/2010,SPP ,8:21 a.m.,Central Nebraska,Made Public Appeals,65,N/A,11:00 a.m. August 12
8/12/2010,MRO ,3:42 p.m.,"City of Oshkosh, Wisconsin",Made Public Appeals,30,"7,600",10:10 p.m. August 12
8/19/2010,RFC ,6:00 p.m.,Southeastern Michigan,Severe Weather,340,"80,000",3:30 p.m. August 23
8/23/2010,TRE ,5:50 p.m.,"Houston, Texas",Severe Weather,746,"81,586",9:30 a.m. August 24
September,,,,,,,
9/1/2010,WECC ,10:20 a.m.,"Pittsburg (Bay Area), California",Electrical System Separation (Islanding),31,"15,000",12:44 p.m. September 01
9/7/2010,TRE ,2:02 p.m.,"San Antonio, Texas",Tropical Storm,N/A,"340,350",1:27 a.m. September 08
9/20/2010,SERC ,5:00 p.m.,"King George County, Virginia",Low Flying Helicopter,N/A,N/A,5:30 p.m. September 20
9/21/2010,RFC ,9:31 p.m.,Central and Southern Michigan,Thunderstorms,N/A,"138,000",2:30 p.m. September 22
9/22/2010,WECC ,6:12 a.m.,"Bakersfield, California",Firm Load Shed,526,N/A,11:00 p.m. September 22
9/22/2010,RFC ,4:08 p.m.,"City of Pittsburgh, Pennsylvania",Thunderstorms,156,"52,000",12:00 a.m. September 26
9/22/2010,RFC ,5:38 p.m.,Western Pennsylvania,Thunderstorms,389,"82,861",11:30 p.m. September 24
9/27/2010,WECC ,3:15 p.m.,Central and Southern California,Interruptible Load Shed,595,N/A,6:12 p.m. September 27
October  ,,,,,,,
10/5/2010,WECC ,5:45 a.m.,"City of Los Angeles, California",Rain and High Winds,N/A,"73,514",6:00a.m. October 07
10/26/2010,RFC ,9:00 a.m.,Northern Illinois,Thunderstorms,N/A,"192,106",11:00 a.m. October 28
10/26/2010,MRO ,8:00 p.m.,Minnesota,High Winds,N/A,"70,000",10:00 p.m. October 28
10/27/2010,MRO ,4:00 a.m.,Northeast and North Central Wisconsin,High Winds,N/A,"63,000",12:00 p.m. October 27
"Table B.2.  Major Disturbances and Unusual Occurrences, Year-to-Date through December 2010",,,,,,,
Date,NERC Region ,Time,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected [1],Restoration
10/27/2010,RFC ,8:00 a.m.,Michigan's Northerly Lower Peninsula,High Winds,240,"285,000",7:00 a.m. October 29
10/27/2010,RFC ,5:00 p.m.,Northern Illinois,High Winds,N/A,"127,000",4:00 a.m. October 29
10/27/2010,WECC ,5:16 p.m.,Northern California,Electrical System Separation-Islanding,16,"2,674",5:27 p.m. October 27
10/31/2010,WECC ,10:26 p.m.,"Bakersfield, California",Firm System Load Loss,500,N/A,1:45 a.m. November 01
November ,,,,,,,
11/4/2010,WECC ,9:46 a.m.,"Rock Springs, Wyoming",Transmission Equipment Failure/Interruptible Load Shed,N/A,N/A,10:47 a.m. November 04
11/6/2010,WECC ,3:53 p.m.,Northern California,Electrical System Separation - Islanding,20,4,6:08 p.m. November 06
11/8/2010,NPCC ,6:47 a.m.,Maine,Snow and High Winds,N/A,"60,863",6:00 p.m. November 08
11/13/2010,MRO ,3:00 p.m.,Minnesota,Winter Storm,N/A,"60,000",10:00 p.m. November 14
11/15/2010,WECC ,11:00 p.m.,Puget Sound Region,High Winds,391,"149,256",2:14 a.m. November 16
11/21/2010,WECC ,1:39 a.m.,Northern and Central California,Winter Storm,75,"60,000",4:46 p.m. November 24
11/22/2010,WECC ,11:00 p.m.,"Puget Sound Region, Washington",Winter Storm,420,"123,535",8:00 p.m. November 24
11/23/2010,WECC ,2:01 p.m.,Northern California,Electrical System Separation - Islanding,22,"7,077",6:12 p.m. November 23
December ,,,,,,,
12/3/2010,WECC ,9:32 p.m.,California,Electrical System Separation - Islanding,22,"7,077",2:00 a.m. December 04
12/12/2010,RFC ,4:30 p.m.,Southeastern Michigan,Severe Weather,210,"60,175",2:00 p.m. December 15
12/14/2010,WECC ,7:20 a.m.,California,Electrical System Separation - Islanding,9,"6,635",7:25 a.m. December 14
12/14/2010,WECC ,7:36 a.m.,Southern California,Transmission Equipment/Firm System Load,464,N/A,9:00 a.m. December 15
12/18/2010,WECC ,5:00 a.m.,"Redmond, Washington",Severe Weather,184,"92,090",10:00 p.m. December 19
12/26/2010,SERC ,8:15 a.m.,Carolina,Severe Weather,N/A,"42,000",4:15 p.m. December 26
12/30/2010,RFC ,2:00 p.m.,New York,Fuel Supply Deficiency,300,N/A,6:00 a.m. January 12
[1] Estimated values.,,,,,,,
  Note: Estimates for 2010 are preliminary.,,,,,,,
"  Source: Form OE-417, ""Electric Emergency Incident and Disturbance Report.""",,,,,,,
